index,question,student_answer,grades_round,ref_answer
141,Explain classification and regression; what is the difference?,"Classification: Each datapoint is assigned with a class Regression: Each datapoint is assigned with a value In classification we assign classes or labels to datapoints. The error signal here can be only true or false. In regression we try to learn a function, the error for each prediction can be a number.",2,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
142,Explain classification and regression; what is the difference?,"In classification a binary pattern has to be partitioned into the two classes. In regression a line has to be fitted closest to some datapoints. The difference is, that in Classification mthe output is a single class label, while in regression the output is continuous",1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
143,Explain classification and regression; what is the difference?,"In classification the input data is split in 2 or more classes. The goal of the neural network is to learn the input data and then be able to classify new input data into the classes. Based on the learned information the network then maps input data into one of the classes, which is discrete space. In regression the input data is learned aswell. But here the network tries to predict feature values, which are in continuous space. The network tries to predict close as possible to new input data only using the learned model.",1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
144,Explain classification and regression; what is the difference?,"Classification tries to label discrete data points with distinct classes, while regression tries to approximate a continuous function from discrete data points. Results of these methods are respectively a labeled data set or a continuous function.",1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
145,Explain classification and regression; what is the difference?,In classification the task is to give an discrete output value to an input. It assignes one of all defined classes to the current input. Regression try to approximate a function while minimizing error and produces a continous output value.,1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
146,Explain classification and regression; what is the difference?,"Classification means mapping inptut data a class label, for example 1 and -1. IN regression on the other hand a continuous function is learned in way that f(x) - F(x) is minimized, where f(x) is the function learned by a learning machine and F(x) is the original function.",1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
147,Explain classification and regression; what is the difference?,"Classification is supervised learning where underlying function representing the trining data is learn from training data to predict classes of datapoints or patterns drawn from similar distribution as of tarining data. Weights of the neural network are learned to minimize the error in classification. Regression is supervised learning algorithm where underlying function representing the trining data is learn from training data to predict the value of label or output of some system for new datapoint or pattern of similar type. Weights of the neural network are learned to minimize the error in prediction of function. Differences. : 1. Output of classification is discrete ( Class 1,2,3 ) whereas output of regression is continuous 2. Error in classification is number of wrong classifications whereas Error in classification regression is distance between lable value and predicted value",2,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
148,Explain classification and regression; what is the difference?,"classification is type of problem where algorithm needs to saperate the one data class from the another data class. If there is 2 classes C1 , C2 . algorithm classify the given data into these two classes. it is discreet process. Regression is the pridicting the next point depending on the previous points. it is continuous process.",1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
149,Explain classification and regression; what is the difference?,Classification is the problem where the input data has to be put in two or more classes distinctively different from each other. For example in case of binary classification on class can be -1 and the other +1 Regression on the other hand is data fitting. THe main aim is to find a hyperplane which can fit a given input pattern.,1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
150,Explain classification and regression; what is the difference?,Classification: Is a task to partition the given input into one of several classes. The calsses are descrete values. Regression: Regression is the tasks of predicting output in a continuous range. The prediction can be any value within a range.,1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
151,Explain classification and regression; what is the difference?,"In classification task the aim to separate data in different classes, such that output of NN gives value of class index for each input point. E.g in the task is to classify binary data, then the output of the NN will 0 or 1, and each value, represent on class. In case of regression task, the aim is to fit data, namely a function that perform input-ouput mapping. Output of NN in this case, will be error value, such that we know how close is out function fitted to data points.",1,Classification is a task of mapping data to discrete labels while regression is a task which maps data to a continuous function or real values. Error in classification is the number of misclassifications while in regression is the summed distance between the true and predicted values. 
152,Write down the SOM learning in pseudo code.,"1. Arrange the weights in the required topology according to the problem. 2. Initialize the weights randomly such that all the weights are different. 3. Sample the input from the input space. 4. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. 5. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and reduce the learning rate and make sure learning rate is above zero. 6. If ordering and convergence is complete, stop. Else continue to step 3.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
153,Write down the SOM learning in pseudo code.,"i. First we initialize random weights for neurons ii. Then we choose random input from input space iii. We compute distance between input vector and each weight vector. iv. Neuron that have minimium euclidean distance with input vector is considered as winner neuron v. Then, we find the neighborhood neurons of the winning neuron vi. We adjust the weights of all neighborhood neurons vii. Reduce the learning parameter and neighborhood size viii. Continue until it converges.",1,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
154,Write down the SOM learning in pseudo code.,"w denote weights t denotes threshold h denotes the neighborhood function, which decreases with distance d from winning neuron h(x, x{win} //neighborhood function return (exp(-2/||x-x{win}||) w = rand(); //initialize weights with random value while (w{delta} > t){ //proceed until there are no notieable changes x{win} = arg min ||x-w||^{2}//determine x which is closest to w (competetive learing) // Update weights of winning neuron // weights of losing neurons are not updated w{new} = w{old} + x*h(x, x{win})*(x-w)//update weights of neuron which a are in neighborhood of winning neuron }",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
155,Write down the SOM learning in pseudo code.,"initialize weights with small values (such that all of the weight vectors are different); sample a datapoint, feed into network; determine the winning neuron on the lattice, picking the neuron with the least euclidean distance of its weight vector to the input vector; determine the neighbourhood of the winning neuron through the neighbourhood function; change weights of the neurons, namely spatially 'pulling' the weight vectors of the neighbourhood neurons towards the input vector; depending on the timestep, reduce learning rate and neighbourhood size based on wether we are in the organizing or finetuning step; repeat until maximum number of steps;",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
156,Write down the SOM learning in pseudo code.,"1. Randomly initialize weights. 2. Randomly select an input from the training data. 3. Find the nearest neighbour of this input in the weights. This is done by finding the euclidean distance of the input from each weight. And selecting the weight with least distance. 4. Update the weights of all the neurons within the neighbourhood $h(n)$ (which is gaussian function, with an exponentially decaying $\sigma(n)$) of the winning neuron with some learning rate $\eta(n)$. $$\Delta w{ij}=\eta(n)h(n)(||xi-xj||)$$ where, $$\eta(n)= \eta0e^{-n/T1}$$ and $$\sigma(n)= \sigma0e^{-n/T1}$$",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
157,Write down the SOM learning in pseudo code.,"In SOM we start with randomized weights, $\mu$ learning reate, $d{ji}$ distance between j and i, $h$ neighbour function repeat as long as error is too high/max iterations are not reached: 1. take input sample 2. find closest node/weight 3. find all it neighbours 4. move the weight and its neighbours closer to the given input, use the neighbour function (e.g. gaussian) to reduce effect to far distance neighbours 5. (optional) adapt learning rate and neighbour function",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
158,Write down the SOM learning in pseudo code.,given a neigbourhood function $h{ij}(n)$ and a lerning rate over time randomly assing different weights from the input layer to the neurons in the second layer for each training point xi do: - find the winner-takes-all neuron $k$ with $min ||xi-wi||$ - find the neighbours of $k$ with the neigbourhood function - compute the new weights for those neurons using the neighbourhood function and the learning rate - update (decrease) the neighbourhood function and the learning rate end,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
159,Write down the SOM learning in pseudo code.,,0,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
160,Write down the SOM learning in pseudo code.,"1: w = initweights() // equal to zero or random initialized 2: n = 0 3: WHILE !stopcriteria() 4: winnerneuron, y = (x, w) // find on the map layer which neuron is closer to the input (euclidean distance) 5: neighborhood = defineneighboor(winnerneuron, n) // define the neighborhood size (first iterations big, and being reduced) 6: eta = definelearningrate(n) // define the learning rate (large value at the first iterations and being reduced) 7: diffw = adaptweights(neighborhood, eta) // adapt the weights just for the winner neuron and its neighborhood 8: w = w + diffw // update the weights 9: stopcritera = muststop(y, x) // look if the distance between input and the winner neuron is 0 (or really close to 0) 9: END",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
161,Write down the SOM learning in pseudo code.,- randomly define some values for the synapitc connections in the network - send the first input to the network - in the output layer(map layer) select the neuron that has lowest error(competition phase) - based on a predefined method define the neighborhood of the selected neuron(cooparation phase) - change the weights of the selected neuron and the neurons located in its neighborhood(adaptation phase) - if the stop condition satisfied stop the process,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
162,Write down the SOM learning in pseudo code.,"Has three parts in it - Competition, Cooperation, Adaptation get input variable and choose amount of neurons to be more than amount of variables then run competition, where from the input neurons will be compiting to each other on choosing which fits the most after finding winning neuron change weight of neighbouring neuron only in cooperation weights of neighbouring neurons are adjusted to clusters in adaptation neurons are pulled to input variables to establish the classification",0,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
163,Write down the SOM learning in pseudo code.,- Find the winning neuron - Find the neighbors of the winning neuron.,0,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
164,Write down the SOM learning in pseudo code.,"**Pseudo code** + 1. Initialize map neurons, based on topology it could be a lattice, on a circle, etc. + 2. competition: find map neuron that is closest to an input neuron by computing distances $d$. + 3. update the position of closest map neuron with update rule. + 4. Do 2 and 3 until all input neurons are assigned a map neuron. + Do 2,3 and 4 until specified iterations or the net cumulative distance goes below some specified value or becomes zero.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
165,Write down the SOM learning in pseudo code.,Produce trainSOM; begin: randomize weights for all neurons; for (i=1 to iterationnumber) do: begin: take random input pattern; find the winning neuron; find neighbors of the winner; modify synaptic weights of these neurons; reduce learning rate and lambda; end; end;,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
166,Write down the SOM learning in pseudo code.,Initialize the network with small and random weights. Sample the data set by picking an input randomly. > Determine the winning neuron based on the output value. > Determine the coopertaing neurons based using the neighborhood function. > Update the weights of the cooperating neurons. > Adjust the learning rate. > Stop if the network converges.,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
167,Write down the SOM learning in pseudo code.,"Begin n = range of data set Initialise the weights. #We give a small random weights. for the range of n: Select a input signal, Find the winning neuron based on the similarity between the weights. Update the weights of the neighboring neuron Repeat until the convergence. 1. initalising 2. Sampling 3 Similarity matching. 4. Updating the weights 5. continuation.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
168,Write down the SOM learning in pseudo code.,intialise weights <br> while( significant change is observed in topographic pattern) {<br> take a random input (sampling) <br> find the winning output neuron (competition) <br> adjust the weights of the winning neuron and its neighbourhood neurons (cooperation) <br> continue <br> },2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
169,Write down the SOM learning in pseudo code.,"HERE: SOM learning - Initialization with random small weights. - Sampling: Picking a input pattern with certain probability. - Similarity matching: Finding the most matching neuron i.e., the winning neuron. - Synaptic updation: Updating the weights of the neuron and also the neurons in it's neighbourhood. - Continuation: Repeat steps 2 to 4 till there is no considerable change in the map.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
170,Write down the SOM learning in pseudo code.,"Parameters: $X$ data vectors, $W$ weights vectors in lattice , $\eta(n)$ -learning rate, $\sigma(n)$ - neighbourhood width, $h{ji(x)}$- neighbourhood function algo: 1) Initialize the weights to a small, random , non-repeatible values. 2) Sample a data vector with a probabiity 3) Compute the euclidean distance to weight vectors from the data points and find the winning neuron with minimum distance . 4) Update the weights of the winning neuron and its neighbourhood towards the input direction using neighbourhood function. 5) reduce the learning rate and the neighbour hood width and iterate from step 2 until no significant changes between weight vectors and inputs are seen.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
171,Write down the SOM learning in pseudo code.,1. Initialization : Initialize the weight vectors with random values such that the $wj(0)$ is different for all weights. 2. Sampling : Draw sample example $x$ from input space. 3. Similarity matching : Find the best matching weight vector for the input vector : $Wi = argmini (x - Wi(n))$ 4. Adjust the weight vectors of neurons in the neighbourhood of the winning neuron 5. Go to Sampling step and repeat until no more changes are observed in the local neighbourhood of the winning neuron.,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
172,Write down the SOM learning in pseudo code.,1. Initailization: Initialize the weights of each neuron to small random values such that weight of each neuron is different. 2. Sampling: Sample an input from the input set 3. Similarity matching: Determine the neuron nearest to the sampled input based on its distance 4. Weight updation: Update the weights of the neighbouring neurons chosen by the neighbourhood function $h{ij}(n)$ 5. Continuation: Continue from sampling until there is no more change in the weights,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
173,Write down the SOM learning in pseudo code.,"SOM is refered to as Self organized maps which is an unsupervised training algorithm for finding spatial pattern in data without using any external help.The process in SOM is explained below: -Initialization: Initialize random weights wj for input patterns - Sampling: Take nth random sample from the input (say x) - similarity matching :for the input x, find the best match in the weight vector. $i(x) = argmin(x - w)$ - update: the next step is to update the weights $w(n+1) = w(n) + eta*hji(x)*i(x)$ - continuation : continue from sampling until there is no significant change in the feature map",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
174,Write down the SOM learning in pseudo code.,"Initialization: set random small values to weights wj is different for each neuron Sampling: draw n-th sample x from input space Competition: identify winning neuron i using arg min $||x-wi||$ which means weight vector of i is most similar to input Cooperation: identify neighbors of winning neuron i using neighborhood function $h{j,i(x)} (n)$ which shrinks with time Weight adaptation: adjustments made to synaptic weights of winning neuron and its neighbors go to sampling until no large changes in the feature map.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
175,Write down the SOM learning in pseudo code.,GENERATE random weights for all neurons<br> FOR i to maxiteration DO<br> ------TAKE random input pattern<br> ------FIND the winning neuron<br> ------FIND the neighbors of the winning neuron<br> ------COMPUTE weigths of these neurons<br> ------REDUCE $\eta$ and $\lambda$<br> END FOR,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
176,Write down the SOM learning in pseudo code.,* Initialize the neuron weights randomly in a way that all neurons have different weights. * Generate random samples x from the input space. * Iterate the samples and **Compare distance between current input and all neurons** in the weight space. * **Find a winning neuron** with shortest distance from current input. * Distance is calculated using **euclidean or manhatten distance**. * Find the neurons in the neighborhood boundary of winning neuron. * **Update the weights** of neighborhood neurons using delta rule. * Adapt the size of neighborhood $(\lambda)$ and learning rate $(\eta)$ at each iteration * Repeat the process until there is no neurons in the neighborhood boundary or all the inputs moved to some neuron.,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
177,Write down the SOM learning in pseudo code.,"Step1: It selects a datapoint in random through sampling. Step2: Finds the nearest neuron through competitive learning. Step3: Updates the weight of the winner neuron and updates the weight of neighbouring neurons by a fraction. Step4: Continues steps 1, 2, 3 until there is no change in the weights or some stopping criteria is met.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
178,Write down the SOM learning in pseudo code.,"{ take a rondom point from the training data competitive phase: find the winning neuron - the neuron similar feature, using the eucledian distance formula cooperative phase: find the neighbors of the winning neuron based on the neighbor function (eg: gaussian function) adaption phase: change the weights of the all the neighboring neuron of the winning node using the formula $ \del w = \eta xj - wj $ }",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
179,Write down the SOM learning in pseudo code.,"input: distance function d(x, y), learning rate mu, neighborhood distance n Initialize the map layer with random weights for each input: find the weight which is closest to the input (minimum d(x, y)) change the weight in the direction of the input depending on the learning rate change all weights which are within the neighborhood distance n depending on their distance and the learning rate reduce learning rate and neighborhood distance",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
180,Write down the SOM learning in pseudo code.,1. Initialize small random weights. 2. Draw the nth sample from the input space. 3. Similarity matching: Determine the winning neuron. 4. Update the weights of the neuron an the topological neighborhood. 5. Repeat steps 2-4 w = random n = example.draw() wmax = getmin(wi*n) hn = getneighborhood(wmax) for wi in hn: wi = wi+$\eta$*h*y,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
181,Write down the SOM learning in pseudo code.,"Initialize the weights randomly. Create a term T1 and T2, which decrease the learning\rate and neighbourhood function respectively. Calculate $i(x) = argmin | w - x |$, the weight which is closest to the input data received. i(x) is the neuron, which wins the competetive process, this neuron and its neighbours weights are updated using $w{new} = w{old} - learning\rate \cdot h(x) \cdot (w - x)$. h(x) is the neighbourhood function which determines, which neurons are updated and how strong they are changed by the update. It is defined using the distance between the neurons. The learning\rate is updated using $learning\rate / T1$, also is the neighbourhood function updated in the same way using T2. The learning\rate cannot get lower than 0.01, while the neighbourhood function can get as low as only the winning neuron. So in the beginning almost every neuron is updated and at the end only a small neighbourhood or the neuron itself is updated.",2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
182,Write down the SOM learning in pseudo code.,for n iterations winner = competitionbetweenneurons() neighbourhood = cooperationwithneighbourhoodfunction(winner) updateweights(neighbourhood),1,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
183,Write down the SOM learning in pseudo code.,given a map layer set random small values for weights from input to map layer repeat until not converged: find best match of input value and weight of the neurons (competitive process) adapt (increase) weight of winning neuron and neighboorhood (with gauss function and neighboorhood size) (cooperating process and weight adjustment) decrease neighboorhood size,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
184,Write down the SOM learning in pseudo code.,,0,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
185,Write down the SOM learning in pseudo code.,Initialize weight vectors of hidden neurons with same dimmension as of data. Number of hidden neuron should be signifiacntly greater than number of data points. initialize learning rate n and neghbouring function h while (rate of change in weights is significant): for every datapoint: calculate distance of each neuron from data. select winner neuron w with minimum distance (maximum similarity) error = distnce of winner form datapoint adjust weights of neurons with the rule w = w + n*h*error,2,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
186,Write down the SOM learning in pseudo code.,randomly inilize the weights draw sample of inputs Increase the weights of the local neihburhood of winning neuron repeat the process above process till there is only one winning neuron,1,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
187,Write down the SOM learning in pseudo code.,,0,"Arrange the weights in the required topology according to the problem. Initialize the weights randomly such that all the weights are different. Sample the input from the input space. Similarity matching: match the input to a neuron in the topological lattice which becomes the winning neuron. Update the weights of the winning neuron and its neighbours determined by the neighbourhood function. Reduce the neighbourhood and decay the learning rate and share radius. If ordering and convergence are complete, stop. Else continue sampling from the input space."
